SSBD:database ID,Project Name,Dataset,Title,Organism,Contact,Organization,Biological Imaging Method,Paper Information,Paper DOI,Dataset License,File Path,Dimensions
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x1_worm1,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x1_worm1.zarr/0,518 x 265 x 152 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x1_worm2,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x1_worm2.zarr/0,521 x 264 x 154 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x1_worm3,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x1_worm3.zarr/0,519 x 261 x 142 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x27_worm1,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x27_worm1.zarr/0,526 x 271 x 167 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x27_worm2,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x27_worm2.zarr/0,521 x 268 x 160 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x27_worm3,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x27_worm3.zarr/0,523 x 264 x 165 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x3_worm1,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x3_worm1.zarr/0,521 x 267 x 175 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x3_worm2,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x3_worm2.zarr/0,522 x 273 x 152 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x3_worm3,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x3_worm3.zarr/0,516 x 267 x 157 x 3 x 1
ssbd-database-000011,11-Toyoshima-NeuAct,140911_DiR_x9_worm1,3D single-channel laser-scanning confocal microscopy (LSCM) images about neuronal nuclei in C. elegans (strain JN2100) adult,Caenorhabditis elegans,Yu Toyoshima,The University of Tokyo,,"Yu Toyoshima, Terumasa Tokunaga, Osamu Hirose, Manami Kanamori, Takayuki Teramoto, Moon Sun Jang, Sayuri Kuge, Takeshi Ishihara, Ryo Yoshida, Yuichi Iino (2016) Accurate Automatic Detection of Densely Distributed Cell Nuclei in 3D Space., PLoS computational biology, Volume 12, Number 6, pp. e1004970",https://doi.org/10.1371/journal.pcbi.1004970,CC BY-NC-SA,https://dmss3gw.riken.jp/ssbd/omezarr/v0.4/ssbd-000011/140911_DiR_x9_worm1.zarr/0,516 x 266 x 156 x 3 x 1
